Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
273,0,-0.351283,-0.221931,2.845337,25.752857,107.604507,674.183228
274,0,-0.349121,-0.213265,2.845721,25.903652,107.875908,674.062683
275,0,-0.348038,-0.209049,2.845431,26.047815,108.191124,674.016968
276,0,-0.346698,-0.204804,2.844622,26.134787,108.410789,673.954651
277,0,-0.357606,-0.203120,2.841284,25.937439,108.436378,673.833435
278,0,-0.353341,-0.206957,2.845391,25.861935,108.156952,673.951599
279,0,-0.356784,-0.212297,2.845743,25.565678,107.758293,674.009399
280,0,-0.359661,-0.221097,2.846328,25.310661,107.361801,674.119812
281,0,-0.359911,-0.227206,2.846508,25.160038,107.145607,674.217651
282,0,-0.358411,-0.228051,2.846188,25.224319,107.274879,674.234558
283,0,-0.352531,-0.216879,2.846319,25.447428,107.669014,674.112671
284,0,-0.347256,-0.212666,2.844252,25.846811,108.399376,674.096313
285,0,-0.341256,-0.204530,2.844415,26.280739,109.348389,674.086853
286,0,-0.328074,-0.211121,2.836494,26.663851,110.221367,674.190430
287,0,-0.331656,-0.206438,2.833730,26.896915,110.426117,674.243591
288,0,-0.329641,-0.210611,2.837386,26.666695,110.260544,674.264709
289,0,-0.333321,-0.222668,2.835194,26.349752,109.580887,674.364929
290,0,-0.349242,-0.212671,2.846089,25.843390,108.324455,674.213867
291,0,-0.355618,-0.227355,2.847014,25.481750,107.457306,674.365967
292,0,-0.356494,-0.237358,2.846814,25.213774,106.785782,674.416870
293,0,-0.354672,-0.240736,2.846106,25.205105,106.622627,674.448181
294,0,-0.351697,-0.230999,2.846063,25.462770,106.987320,674.364990
295,0,-0.346376,-0.218421,2.847360,25.867060,107.765411,674.314514
296,0,-0.338077,-0.212216,2.844899,26.368217,108.861885,674.346130
297,0,-0.325780,-0.214633,2.835932,26.923075,110.073502,674.400879
298,0,-0.321593,-0.203012,2.832296,27.332941,110.799286,674.248230
299,0,-0.324783,-0.214921,2.830871,27.462128,111.452812,674.433472
300,0,-0.326564,-0.220515,2.829426,27.541754,111.893394,674.427490
301,0,-0.330365,-0.220234,2.830412,27.627350,112.290215,674.406860
302,0,-0.345795,-0.205215,2.839991,27.872238,112.967033,674.551514
303,0,-0.326409,-0.207077,2.827123,28.322260,113.690208,674.351685
304,0,-0.332257,-0.209636,2.818711,28.888044,114.983315,674.335693
305,0,-0.335540,-0.210623,2.815406,29.710850,116.520111,674.475830
306,0,-0.336565,-0.207093,2.808464,31.166124,118.793587,674.720398
307,0,-0.326121,-0.205797,2.786969,32.512039,120.356033,673.854858
308,0,-0.328883,-0.209834,2.775664,34.500534,123.692039,673.925964
309,0,-0.317265,-0.200416,2.759341,37.074066,127.633560,673.743958
310,0,-0.312815,-0.183517,2.750221,39.949493,132.309433,673.488403
311,0,-0.330844,-0.147536,2.743702,43.513855,137.410919,672.986816
312,0,-0.318523,-0.140728,2.702343,48.220078,143.246841,672.888367
313,0,-0.312568,-0.134621,2.675231,52.949142,149.859085,672.693909
314,0,-0.316576,-0.130116,2.652244,58.188679,156.698425,672.650940
315,0,-0.297775,-0.115476,2.608188,63.767338,163.461136,672.002747
316,0,-0.300170,-0.115156,2.569107,69.806541,170.623749,671.796448
317,0,-0.305218,-0.093598,2.537329,76.388962,178.155411,671.652283
318,0,-0.315999,-0.072691,2.508118,82.902306,185.670441,671.109558
319,0,-0.293230,-0.088093,2.469453,89.627991,192.878098,670.820801
320,0,-0.294712,-0.031960,2.460301,96.162506,199.117554,670.227600
321,0,-0.310700,0.002591,2.449641,102.500206,204.773926,670.471008
322,0,-0.280701,0.004448,2.405916,107.366402,208.153732,670.093628
323,0,-0.281498,-0.021879,2.384048,111.420815,211.495102,670.732849
324,0,-0.271447,-0.028351,2.367742,114.278534,213.232056,670.461792
325,0,-0.278676,-0.020397,2.372911,116.104912,214.202057,670.607666
326,0,-0.280268,-0.033276,2.371987,117.488350,214.447357,670.443420
327,0,-0.277295,-0.034178,2.374601,117.762077,214.063492,670.366089
328,0,-0.278856,-0.052660,2.371039,117.171280,212.917175,670.742737
329,0,-0.291261,-0.052635,2.383644,115.834053,211.283936,671.003296
330,0,-0.302497,-0.067006,2.390213,114.082863,209.604477,671.413025
331,0,-0.290290,-0.098587,2.387470,112.254951,207.740021,671.445251
332,0,-0.302134,-0.083759,2.411454,110.549454,206.044403,671.535767
333,0,-0.294767,-0.070780,2.415675,108.617653,204.369324,671.468933
334,0,-0.302099,-0.102946,2.425011,107.598091,203.723541,671.888550
335,0,-0.294122,-0.106184,2.432741,106.594147,203.190002,672.124329
336,0,-0.298115,-0.091732,2.442221,106.161652,202.868332,672.107849
337,0,-0.293365,-0.096358,2.439313,106.198753,203.096985,672.234009
338,0,-0.297762,-0.072680,2.447394,106.452904,203.426300,672.011108
339,0,-0.294657,-0.069169,2.441686,107.190918,204.351501,671.988342
340,0,-0.280865,-0.067666,2.438976,107.918854,205.206848,671.761230
341,0,-0.266639,-0.056003,2.438867,108.612991,206.003265,671.489502
342,0,-0.306229,-0.027441,2.453463,109.319290,206.805313,671.833191
343,0,-0.284063,-0.057069,2.435961,109.682152,206.821259,671.630188
344,0,-0.311092,-0.030398,2.454080,109.534172,207.086594,671.904724
345,0,-0.289240,-0.047773,2.439921,109.050659,206.482864,671.745117
346,0,-0.293838,-0.071722,2.439647,108.532654,205.900574,671.954407
347,0,-0.300002,-0.088375,2.440094,107.684196,205.249847,672.351929
348,0,-0.329552,-0.077070,2.457954,106.914383,205.140244,672.782166
349,0,-0.312076,-0.103289,2.443079,106.534462,204.579971,672.558655
350,0,-0.311483,-0.104189,2.442813,106.502525,204.607254,672.543579
351,0,-0.313508,-0.091299,2.446092,106.795944,204.933441,672.502258
352,0,-0.305959,-0.080123,2.444649,107.533768,205.322998,672.235535
353,0,-0.298703,-0.062855,2.446447,108.229744,205.788040,671.949890
354,0,-0.291479,-0.065912,2.442127,108.741501,206.450867,672.171265
355,0,-0.269444,-0.078554,2.429778,109.057442,206.626968,671.803955
356,0,-0.275995,-0.067839,2.431866,108.995636,206.387436,671.728821
357,0,-0.285725,-0.086144,2.432196,108.810638,206.159195,672.063721
358,0,-0.292665,-0.087887,2.438522,108.162567,205.477127,672.174805
359,0,-0.324985,-0.073602,2.457494,107.307953,205.082870,672.715088
360,0,-0.312412,-0.111061,2.440904,106.803955,204.171967,672.687927
361,0,-0.311461,-0.106839,2.438515,106.386406,203.484299,672.762817
362,0,-0.309998,-0.108769,2.438357,106.396202,203.368027,672.735352
363,0,-0.307693,-0.103073,2.437160,106.775925,203.606033,672.576233
364,0,-0.300740,-0.084555,2.437788,107.327499,204.196274,672.334534
365,0,-0.297386,-0.063541,2.438285,108.021904,204.513992,672.065735
366,0,-0.290036,-0.047630,2.439253,108.408806,204.798950,671.896118
367,0,-0.286579,-0.055524,2.435826,108.563446,205.093994,671.980713
